メディア,投稿日（推定）,タイトル／本文（抜粋）,カテゴリ,URL,メモ・要点,チェックすべき関連サイト,重要なワード,今後深堀すべきポイント
X,2025-07（推定）,Genspark AI Developer発表——画像・音声・動画・スライド・ドキュメント・アプリ開発も対応可能に,ツール速報,https://x.com/kawai_design/status/1944982898333114665,Gensparkのマルチモーダル化・開発者向け機能拡張を速報。AIツールのオールインワン化の流れを体現,Genspark Developer Platform,Genspark AI Developer・マルチモーダル・オールインワンAI,マルチモーダルAIの制作応用可能性（画像+動画+音声）を実験する
X,2025-07（推定）,Gensparkインダストリーアンバサダー第1弾メンバーに就任,キャリア,https://x.com/kawai_design/status/1944705297811124301,Genspark公式から第1弾アンバサダーに選出。AIツール企業との公式タイアップが始まる,Genspark公式 / インダストリーアンバサダー一覧,アンバサダー戦略・公式タイアップ・ポジショニング,ツール企業との関係構築がどうキャリアに貢献するかを研究する
X,2025-09（推定）,Genspark AI デザイナーレビュー——単体デザインならGPT Imageで十分。使いどころが課題,ツール評価,https://x.com/kawai_design/status/1959062272414032237,Genspark AI DesignerをGPT Imageと比較評価。2000クレジット消費の実例共有。「一貫性」が強みと分析,GPT Image-1公式 / OpenAI,ツール比較評価・クレジット効率・Genspark vs GPT Image,主要画像生成ツールの「用途別ベスト選定表」を作り定期的に更新する
X,2025-10（推定）,書籍「AIでゼロからデザイン」10月21日刊行発表——①デザイン思考法 ②AI活用75プロンプト,書籍,https://x.com/kawai_design/status/1976424980448673987,書籍刊行を正式発表。内容は①デザイン思考法 ②AI活用75プロンプト。商業デザイン部門1位獲得,Amazon JP / 翔泳社,AIでゼロからデザイン・75プロンプト・書籍・デザイン思考,書籍のプロンプト75選を全て試し自分専用のプロンプト辞書に昇華させる
X,2025-11（推定）,Google Stitch UIデザインツールアップデート——日本語指示でUIアレンジ可能に。Figma Makeと類似,ツール速報,https://x.com/kawai_design/status/1976820889741410572,Google Stitchの日本語対応・UI操作機能をレポート。「あらゆるツールはAIで境界が溶けていく」という鋭い指摘,Google Stitch公式 / Figma Make公式,Google Stitch・日本語指示・ツール境界消失・Figma Make,ツール境界が溶ける中で「どのツールに投資するか」の判断軸を持つ
X,2025-11（推定）,新しい画像生成モデルも出る？「gpt-image-2でNano Bananaの一貫性・Seedream 4.0の4K出力が来たら感動する」,ツール速報,https://x.com/kawai_design/status/1974984541266964787,次世代画像生成モデルへの期待を語る。最新AI動向を常に追っている姿勢,OpenAI公式 / ByteDance Seedream / Nano Banana,gpt-image-2・Seedream 4.0・4K画像生成・一貫性,最新画像生成モデルのリリース情報を追う週次インテリジェンスルーティンを作る
X,2025-12（推定）,【SHIFT AI KAWAI LIVE】クリスマス特別編30分拡大——クリスマスカードをAIで生成,コミュニティ,https://x.com/kawai_design/status/1988955897503314174,SHIFT AI会員向けライブ配信。年末特別企画としてクリスマスカード生成をライブ実演,SHIFT AI公式 / KAWAI LIVE アーカイブ,KAWAI LIVE・SHIFT AI会員・ライブ実演・クリスマスカード,ライブ配信形式での学習・コミュニティ運営手法を参考にする
X,2026-01（推定）,2025年デザイントレンドに沿ったWebサイト生成事例をX投稿,ツール実践,https://x.com/kawai_design/status/1991521073591173611,デザイントレンドキーワードをAI指示に入れたWebサイト生成の実例を公開。再現性の高いフォーマット,Google Stitch / Vercel v0,トレンドキーワード活用・Webサイト生成・実例共有,トレンドキーワード別のWebサイト生成実験結果を記録・蓄積する
X,2026-01（推定）,Gemini 3で図解を生成——「アイデアの拡散はAIが・収束は人が」を1文追加するだけで図解化,ツール実践,https://x.com/kawai_design/status/1991328013062140056,Gemini 3の図解生成を実演。池田氏のプロンプトを流用し1行追加で図解生成。「拡散=AI・収束=人」という分業論,Google Gemini 公式 / Gemini 3ブログ,Gemini 3・図解生成・発散と収束・AI×人間の役割,「AIが拡散・人が収束」という制作分業モデルを自プロセスに実装する
X,2026-01（推定）,「2025年のデザイントレンド」というキーワードはAI指示に結構効く,プロンプト,https://x.com/kawai_design/status/1991125406653591773,AIへの指示に「年号+デザイントレンド」キーワードを入れると出力品質が上がることを発見・共有,Behance Design Trends / Canva Design Predictions,デザイントレンドキーワード・プロンプトへの年号活用,年度別デザイントレンドをプロンプト辞書に組み込み定期更新する
X,2026-02（推定）,Claude Code × Figmaのニュースへの反応——「驚けない。Google StitchでもFigmaエクスポート済み」,ツール評価,https://x.com/kawai_design/status/2023999120646750314,Claude Code to Figmaリリースへの冷静な評価。先見性の高さと「業界動向を読む目」を示す投稿,Claude Code to Figma公式 / Figma公式,Claude Code to Figma・業界動向読解力・先見性,業界の「次の一手」を予測する習慣を身につける（予測→検証サイクル）
X,2026-02（推定）,書籍「AIでゼロからデザイン」2/1より全ページ期間限定無料公開——厳選プロンプト75・手書きラフ→デザイン変換術,書籍・マーケティング,https://x.com/kawai_design/status/2017228935625671075,2月1日〜4日まで2310円の書籍を全ページ無料公開。「与える」マーケ戦略の大胆な実践,Amazon / SEshop.com,期間限定無料公開・与える戦略・コンテンツマーケ,大胆な「無料化」戦略がどれだけフォロワー増・信頼獲得につながるか効果測定する
X,2026-03-30,"Claude Code 権限確認回避術：trash/ フォルダへの mv を活用し作業効率化。",AI/開発効率,https://x.com/kawai_design,"rmによる頻繁な承認待ちを避け、mvで擬似ゴミ箱へ移動させる全自動整理テクニック。",https://x.com/kawai_design,"mv, trashフォルダ, 自動化",承認不要コマンドのワークフロー化
X,2026-03-30,"川合 卓也（KAWAI）プロフィール：デザイナー、世界観構築のプロフェッショナル。",デザイン/AI,https://x.com/kawai_design,"雪舟館の全ビジュアル・世界観を統括。AIを道具として使いこなす感性。",https://github.com/yukikiki2011-cloud/KAWAI,"デザイン思考, 美意識, AIクリエイティブ",AIによる能力拡張の具現化
X,2026-03-31,"Claude Code 内部ソースから101個のフィーチャーフラグを発見。KAIROS等の自律動作機能に注目。",AI/開発,https://x.com/kawai_design,"KAIROS（バックグラウンド自律動作、GitHub Webhook連携）の可能性を考察。",https://x.com/kawai_design,"KAIROS, フィーチャーフラグ, 自律動作",リリース予定と影響の調査
X,2026-03（推定）,Claude Code Channelsが来た——TelegramやDiscordからClaude Codeに指示を送れる。スマホで自律稼働,Claude Code,https://x.com/kawai_design/status/2034790344555209139,Claude Code Channels機能により外出先からAIエージェントへの指示が可能に。「カフェからバグ修正指示」の世界,Anthropic Claude Code Channels公式,Claude Code Channels・Telegram連携・リモート指示・自律エージェント,Claude Code Channelsを自分の制作フローに組み込み実際にリモート操作してみる
X,2026-03（推定）,DESIGN.mdとデザインシステム一括変換機能——急なデザイン変更に瞬時に対応。「Claude Codeで十分かも」,要件定義,https://x.com/kawai_design/status/2034497189087769037,デザインシステム変更をDESIGN.md×AIで一括対応できる未来を示唆。Claude Codeへの信頼も表れる,Claude Code公式 / Google Stitch,デザインシステム・一括変換・DESIGN.md・Claude Code,デザインシステムをDESIGN.md化し変更コストをゼロに近づける実験をする
X,2026-03（推定）,Gemini CLI最新アップデート——Claude Codeに類似してきた,ツール速報,https://x.com/kawai_design/status/2035168289903845730,GoogleのGemini CLIがClaude Code的な機能を追加。「Google連続3日大型アップデート」として注目,Google Gemini CLI公式 / Google DeepMind,Gemini CLI・Claude Code類似・Google AI攻勢,主要AIツールの機能比較表を月次更新し選択ロジックを持つ
X,2026-03（推定）,Google Stitch DESIGN.md機能追加——DESIGN.mdをClaude Code以前から法人に推奨してきた,要件定義,https://x.com/kawai_design/status/2034428130438558152,KAWAIが先行してDESIGN.mdを推奨していたことを実績として示す。「正しかった」という先見性の証明,Google Stitch公式 / Figma公式,DESIGN.md・先行推奨・法人向けDESIGN管理,DESIGN.mdを自社プロジェクト全案件に適用するルールを作る
X,2026-03（推定）,Google StitchがDESIGN.md採用——要件定義力がAI時代の核心スキルだという確信の表明,要件定義,https://x.com/kawai_design/status/2034481997369029017,ツール側がDESIGN.mdを採用したことで「要件の重要性」が業界標準になったと指摘,DESIGN.md仕様書 / Claude公式,要件定義・DESIGN.md・AI時代の核心スキル,要件定義力をデザイン統括の最重要スキルとして習慣化する（毎案件でDESIGN.md作成）
X,2026-03（推定）,Google Stitch大型アップデート予告——「バイブデザインツール」新機能が登場する？,ツール速報,https://x.com/kawai_design/status/2034032982189821958,アップデート前日に予告投稿。「法人向け研修スライドも更新しないと」とリアルな業務感も,Google Stitch公式,バイブデザインツール・Google Stitch・新機能予告,主要ツールのアップデートサイクルを把握しスライド・研修資料を常に最新に保つ
X,2026-03（推定）,Googleの狙い——StitchでFigmaユーザーを取り込み→最終的にFigmaを凌駕する戦略予測,ツール・戦略分析,https://x.com/kawai_design/status/2034467517587214752,GoogleのFigma攻略戦略を独自に予測。「今回はまだ序章」という先読み発言,The Information / Bloomberg Tech,Googleの競合戦略・Figma包囲網・市場支配,大手テック企業のデザインツール市場戦略を継続的にウォッチする
X,2026-03（推定）,computer useと合わせるとPCで対応可能なあらゆるタスクを全自動で実施できる——「どこまで任せるか」の問いが重要,AI自動化,https://x.com/kawai_design/status/2036570218961781236,コンピュータ使用AIによる全自動化の可能性と「どこまで任せるか」という倫理的・実務的問い,Anthropic computer use / OpenAI Operator,computer use・全自動化・AI委譲の倫理・判断設計,「自分の仕事でどこまでAIに任せるか」の判断基準書を作る
X,2026-04-02,"Claude Code Guide 更新：v2.1.90。新コマンド /powerup (インタラクティブレッスン) 追加。","AI/教育",https://claude-code-dictionary.pages.dev/,"ターミナル内で Claude Code の使い方を学べるインタラクティブレッスン機能が実装された。","https://claude-code-dictionary.pages.dev/","/powerup, チュートリアル, v2.1.90",インタラクティブ学習による導入コストの低減
X,2026-04-02,"Claude Code辞典 v2.1.89 更新：Auto mode 再試行(rキー)、新フック PermissionDenied 反映。",デザイン/AI,https://x.com/kawai_design,"辞典の毎日更新を継続。開発効率を向上させる最新設定の公開。",https://claude-code-dictionary.pages.dev/,"Claude Code, v2.1.89, CSSフック",新機能の実践活用
note,2024（推定）,【デザインエージェンシーのAI活用】2024年の現状と未来展望,AI活用,https://note.com/kawaidesign/n/nfd3f3b02fa99,デザイン制作会社・エージェンシーのAI導入実態と今後の展望。クライアントへの提案・提言に使える視点,Forrester Research / Gartner Design Reports,デザインエージェンシー・AI導入実態・未来展望,クライアント企業へのAI導入提案書を書く際の根拠として活用する
note,2025-01（推定）,デザイナーの未来と成功戦略（マガジン記事）,キャリア,https://note.com/kawaidesign/n/n4053db74d774,AI時代のデザイナーが生き残る・成長するための戦略論。KAWAIの中長期的なキャリア視点,McKinsey未来の仕事レポート,デザイナー未来・成功戦略・AI代替領域,「デザイン統括」としてのキャリア設計を具体化する（3年後の姿を書く）
note,2025-03（推定）,AI駆動デザイン制作プロセスの最新事例（世界・日本）,デザインプロセス,https://note.com/kawaidesign/n/ncbd8ae4801c4,世界と日本のAI駆動デザイン制作の最新事例を収集・分析。業界の現在地把握に有用,Nielsen Norman Group / Awwwards Case Studies,AI駆動制作・ワークフロー事例・世界最前線,世界のAIデザイン事例を月次でリサーチし自社ワークフローへの転用可能性を評価する
note,2025-04（推定）,【画像生成プロンプト20選】プレゼンテーションする男たち編,プロンプト,https://note.com/kawaidesign/n/n29afd46d70c5,特定ビジュアルシチュエーション（プレゼン男性）に特化した20種プロンプト集。実用性が高い,Midjourney公式 / Adobe Firefly,シチュエーション別プロンプト・20選・ビジネス素材,プレゼン・会議・オフィスなどビジネス場面のプロンプト辞書を構築する
note,2025-05（推定）,【2025年春・noteで差をつける】AI時代に"書く"を加速させる最善手,コンテンツ・note戦略,https://note.com/kawaidesign/n/nf9a0d55e731d,note発信におけるAI活用術。AIで書くスピードを上げながら人間的な視点を保つ方法,note公式ブログ / Perplexity AI,note発信戦略・AI執筆加速・人間的視点,毎日1本note/X発信するための「ネタ→ドラフト→公開」自動化フローを作る
note,2025-05（推定）,【完全保存版】AIで広告バナーを一発生成！業種別プロンプト集40選,プロンプト,https://note.com/kawaidesign/n/nd4f9a76cac8c,業種別（飲食・IT・医療etc）の広告バナー生成プロンプト40種類。そのまま使えるテンプレート集,Canva Templates / Adobe Stock,広告バナー・業種別プロンプト・40選,業種別プロンプトを自分のクライアント案件別に拡張・カスタマイズする
note,2025-06（推定）,【センスは捨てろ。意志を持て】AI時代に選ばれるための生存戦略ロードマップ,キャリア,https://note.com/kawaidesign/n/ne15ea1868387,「センス」という曖昧な資質ではなく「意志ある選択」がAI時代の生存条件。ロードマップ形式で提示,KAWAI note メンバーシップ / SHIFT AI,生存戦略ロードマップ・意志・センス不要,5年後の自分に向けた「意志のあるデザイン統括ロードマップ」を書く
note,2025-06（推定）,【世界を制したポケモン戦略】驚異のIPビジネスモデルとあなたのビジネスを成功に導く「ポケモン進化論」,マーケティング・戦略,https://note.com/kawaidesign/n/n61b1eab553c5,ポケモンのIPビジネスをビジネス戦略として分析。ブランド展開・IP活用の示唆,ポケモンカンパニー公式 / Harvard Business Review,IPビジネス・ブランド展開・ファンコミュニティ,クリエイターとしての「IP化戦略」を考える（キャラクター・世界観・コミュニティ）
note,2025-07（推定）,【AI新時代・マーケター生存戦略】Google I/O 2025が示した羅針盤,マーケティング,https://note.com/kawaidesign/n/n27ca1644b8f0,Google I/O 2025発表内容をマーケター視点で分析。AIがSEO・広告・コンテンツに与える影響,Google I/O 2025公式アーカイブ / Search Engine Land,Google I/O・AI Overview・マーケター生存戦略,Google I/O発表をマーケ戦略にどう取り込むかを毎年リサーチする習慣を作る
note,2025-07（推定）,【マーケティング大全】戦略から実践・改善までを網羅する完全ガイド,マーケティング,https://note.com/kawaidesign/n/n24b0ababba6b,マーケティング全体像をカバーする体系的ガイド。戦略→実践→改善のサイクルを網羅,Philip Kotler「マーケティング原理」/ Seth Godin,マーケティング体系・戦略立案・PDCA,マーケティング→デザイン→AIの3連携思考を自分の仕事に組み込む
note,2025-07（推定）,【初心者向け】Gensparkで画像生成をする流れ（簡単・便利）,ツール・テクノロジー,https://note.com/kawaidesign/n/nc9ecba807c62,Genspark画像生成の基本手順。Gemini Imagen 3使用。無料でもウォーターマーク有で商用可（2025年6月30日まで）,Genspark公式 / Gemini Imagen 3（Google DeepMind）,Genspark画像生成・Imagen 3・商用利用条件,画像生成ツールの利用規約・商用利用条件を一覧化して管理する
note,2025-07（推定）,【制作の裏側 大公開】Genspark と MiriCanvasを使ったAI時代のサムネイル制作プロセス（コピペ可能プロンプト付）,プロンプト・実践,https://note.com/kawaidesign/n/nbb159db516c4,Genspark×MiriCanvasの組み合わせでサムネイル制作する実録。プロンプトがコピペ可能,MiriCanvas公式 / Genspark公式,MiriCanvas・Genspark・サムネイル制作・コピペプロンプト,サムネイル制作フローを標準化しチームで使えるテンプレートを作る
note,2025-08（推定）,【Genspark AIを実体験】デザインの未来は"創造"ではなく"翻訳"にある,ツール・テクノロジー,https://note.com/kawaidesign/n/n8b6a27906026,AIがデザインを「生成」するのではなく「翻訳」するという視点。指示の質が翻訳の質を決める,Genspark公式 / Wired Japan（AI創造性論）,デザイン翻訳論・指示の質・創造vs翻訳,「翻訳」の質を高めるための指示書（ブリーフ）作成力を鍛える
note,2025-08（推定）,【新機能】Genspark AI Designerの注意点｜"お洒落なだけ"で終わらせないビジネス活用法,ツール・テクノロジー,https://note.com/kawaidesign/n/n15f656c98170,Genspark AI Designerは「見た目の一貫性」が強みだが使いどころを考える必要がある。GPT Imageとの使い分け論,Genspark公式 / GPT Image-1（OpenAI）,Genspark AI Designer・一貫性・ビジネス活用・クレジット消費,ツール別の「使いどころマトリクス」を自分で作って更新し続ける
note,2025-09（推定）,AIフル活用でデザイン制作はどう変わる？未来のデザイナーの役割と実践的活用術,AI活用,https://note.com/kawaidesign/n/n4eedbce3589b,AIをフル活用した場合の制作工程の変化と、デザイナーが担うべき残余業務の整理,Adobe AI Summit / Figma Config アーカイブ,AI制作フロー・デザイナーの役割変化・ハイブリッド制作,AIフル活用時の制作フローを自チームに導入するためのロードマップを作る
note,2025-09（推定）,【デザインにセンスは不要】AI時代に「伝わる」を生み出す・勝利の方程式,デザイン思考,https://note.com/kawaidesign/n/n9efaf40ced7c,「伝わる」デザインは論理と戦略から作れる。センスより「読者理解」と「目的設定」,スタンフォードデザインスクール / ニールセンノーマングループ,伝わるデザイン・センス不要・ユーザー心理,ターゲットを明確にしたデザインブリーフを書く訓練を積む
note,2025-09（推定）,デザイナーの未来と成功戦略,キャリア,https://note.com/kawaidesign/n/n4053db74d774,AIによりデザイン業務がどう変わるか・デザイナーが生き残るための戦略。KAWAIの中長期キャリア論,McKinsey Global Institute / WEF,デザイナー生存戦略・AI代替・価値の再定義,5年後の「自分のデザイン統括像」を書き起こし逆算計画を立てる
note,2025-10-21,【書籍】AIでゼロからデザイン（翔泳社・川合卓也著）刊行,書籍,https://www.shoeisha.co.jp/book/detail/9784798193427,翔泳社から発売。ChatGPT・Gemini・Adobe Fireflyを使ったデザイン入門。厳選プロンプト75収録。10月21日刊行,Amazon / SEshop.com / 翔泳社公式,AIでゼロからデザイン・75プロンプト・手書きラフ→デザイン変換,書籍の75プロンプトを実際に使い倒し独自プロンプト辞書を作る
note,2025-10（推定）,「AI時代」も活躍したい人必見の一冊,書籍・キャリア,https://note.com/kawaidesign/n/n25df621ab43c,書籍発売に合わせた紹介記事。AI時代に活躍するための思考法の概要,SHIFT AI公式サイト / KAWAIプロフィール,AI時代に活躍するデザイナー・思考法・スキルセット,書籍から学んだことを自分の業務に落とし込む実践ルーティンを作る
note,2025-10（推定）,【AIデザイン入門の罠】なぜあなたのAI資料は素人っぽいのか？答えは「基礎」にあった,デザイン思考,https://note.com/kawaidesign/n/n7af6445765ba,AIで生成した資料が素人っぽくなる原因はデザイン基礎知識の欠如。ツールより原則が先,The Elements of Typographic Style / 配色の教科書,デザイン基礎・フォント・余白・配色・グリッド,デザイン基礎4原則（整列・反復・コントラスト・近接）を毎作業で意識する習慣を作る
note,2025-10（推定）,【さよなら、デザインセンス】AIとの「対話」でプロの結果を出す・全く新しい思考法,デザイン思考,https://note.com/kawaidesign/n/n00fd8cbf0ec7,センスは不要。AIとの対話プロセスにロジックを持ち込む。デザインを「論理の産物」として再定義,Design Sprint（Google Ventures） / IDEO HCD,センス不要論・対話型デザイン・ロジック駆動,デザイン判断を「なぜそうしたか」で毎回説明できるよう言語化訓練する
note,2025-10（推定）,【完全保存版】アプリケーションUIの参考サイト集 ＋ AIツールまとめ,ツール・テクノロジー,https://note.com/kawaidesign/n/naa1b37b5e7ca,UIデザインの参考になるサイトとAIツールの一覧整理。デザイン統括が押さえるべきリソース集,Mobbin / Dribbble / Behance / Awwwards,UIリファレンス・AIツールまとめ・デザインインスピレーション,参考UIサイトをカテゴリ別にブックマーク整理し週次でインスピレーション収集する
note,2025-11（推定）,【一億総クリエイター時代の残酷な真実】AIを使い倒した先に待つ「個のブランド」格差,キャリア・ブランド,https://note.com/kawaidesign/n/n1c10c0f3f720,誰でもAIでデザインできる時代に「個のブランド」だけが差別化軸になるという論考,Canva / Adobe Express（一億総クリエイター化の証左）,個のブランド・差別化・クリエイター格差,個のブランド戦略を設計する（発信・スタイル・専門性の明示化）
note,2025-12（推定）,AIがデザインを創造する時代へ：2025年・広告・スライド・Web制作を革新するAIエージェント60選,ツール・テクノロジー,https://note.com/kawaidesign/n/n17cc3770e38f,2025年末時点でのAIデザインエージェント60種類のカタログ。用途別整理が有用,Product Hunt / AI Tools Directory,AIデザインエージェント・60選・用途別カタログ,自社・自チームで使えるAIエージェントTOP5を選定し活用計画を立てる
note,2026-01（推定）,AIに「魂」を与える仕事。哲学者がClaudeに教えた"善い人"の条件,AI・哲学,https://note.com/kawaidesign/n/nba795bb82a59,AIに倫理観・人格・価値観を設計することで「善い」アウトプットを引き出す試み。System Promptの哲学的設計,スタンフォード哲学百科事典 / Anthropic Constitution,AI人格設計・System Prompt哲学・価値観の埋め込み,AIのキャラクター・価値観設計をCLAUDE.mdレベルで実装する
note,2026-01（推定）,【9割が勘違い】AIを使いこなす人ほど・AIを触っていない,AI活用・思考法,https://note.com/kawaidesign/n/n005535f2ce62,AI活用の本質はプロンプトより先にある「目的設定」と「思考設計」。ツールより思考が先,デザイン思考（IDEO） / Paul Graham essays,思考設計・目的設定・AIへの委譲前提,「AIに任せる前に考えるべきこと」を体系化して研修・提案に使う
note,2026-02-15,【完全保存版】AIデザイン プロンプト大全〜プロが実務で使う厳選50選〜（有料）,プロンプト,https://note.com/kawaidesign/n/n9095aec70827,プロンプト=設計図思想。50選のカテゴリ別プロンプト。実務直結。タグ：イラスト・デザイン・SNS・広告・バナー・生成AI,DALL-E 3 / Midjourney公式 / Adobe Firefly,プロンプト設計図思想・50選・業種別・S/A/B/Cランク設計,プロンプトを「呪文」ではなく「設計図」として組み立てる訓練を週次でやる
note,2026-02（推定）,Figmaを捨てた理由。100%不要です,ツール・テクノロジー,https://note.com/kawaidesign/n/n146f759c5343,「Claude Codeを使えば使うほどFigmaを開く理由が消えていく」。DESIGN.mdによるAIへのデザイン原則の委譲,Figma公式 vs Claude Code公式の比較,DESIGN.md・コードファーストデザイン・Figma不要論,DESIGN.mdを自分のプロジェクトで整備し実際にFigmaレスで制作できるか検証する
note,2026-02（推定）,【2/4まで無料】2310円のAIデザイン本を・なぜ全文公開するのか？,マーケティング,https://note.com/kawaidesign/n/n9b5afcf70c73,書籍の期間限定無料公開という大胆なマーケ戦略。コンテンツマーケティングとしての「与える」戦略,KAWAIの書籍販売ページ（翔泳社）/ Amazon,コンテンツマーケ・与える戦略・信頼構築,「無料で出す」「有料で出す」の戦略判断軸を学ぶ
note,2026-02（推定）,コードからFigmaへ！神プラグインを使ってWebサイト制作を超効率化,ツール・テクノロジー,https://note.com/kawaidesign/n/n41514a391e6c,Claude Code to FigmaプラグインによりCode→Figmaの逆ワークフローが実現。制作プロセスが根本から変わる,Claude Code to Figma公式プラグインページ / Figma Community,Claude Code to Figma・逆ワークフロー・コードファースト,自分のプロジェクトでCode→Figmaワークフローを実際に試す
note,2026-02（推定）,広告レイアウト完全プロンプト設計書〜20の型を「見える化」する画像生成プロンプト集〜,プロンプト,https://note.com/kawaidesign/n/nb3c9caeb3349,広告レイアウトの20パターンを「見える化」してプロンプト化。型の言語化が核心,電通・博報堂の広告型分類 / Canva Design School,広告レイアウト型・見える化・型のプロンプト化,デザインパターンを言語化してAI指示に変換するトレーニングを積む
note,2026-03-07,AIを使わない人が絶滅する理由は・7万年前に証明されていた,AI・人材,https://note.com/kawaidesign/n/n0648a97579e2,認知革命（7万年前）とAI革命を接続。ホモ・サピエンスが生き残った理由＝道具の活用進化論とAIを結びつける,サピエンス全史（ユヴァル・ノア・ハラリ）/ NHK進化論特集,認知革命・道具進化論・AIと人類史,進化論的視点からAI活用の必然性を語れるようになる（プレゼン・提案に使える）
note,2026-03-13,【先着100名限定ウェビナー】笑っちゃうほど簡単なClaude Code入門（初心者向けインストールから解説）,Claude Code,https://note.com/kawaidesign/n/,初心者向けウェビナー企画。教えることでKAWAI自身の理解も言語化・体系化されている,KAWAI LIVE（SHIFT AI）/ Peatix,Claude Codeインストール・初心者ガイド・ウェビナー,教える・発信することで理解を深める「アウトプット学習法」の設計
note,2026-03-19,【迷ってる間に全部入りになった】Google AI Studioが"作る"を1画面に統合した日,ツール・テクノロジー,https://note.com/kawaidesign/n/n2086e124f02f,Gemini・GenMedia（Veo 3.1）・TTS・Liveモデルが1つのPlaygroundに統合。制作ツールの「境界消失」が加速,Google AI Studio公式 / Google Labsブログ,Veo 3.1・TTS・Gemini統合・Playground,マルチモーダル生成の統合ツールが制作プロセスをどう変えるか実験する
