"メディア","投稿日（推定）","タイトル／本文（抜粋）","カテゴリ","URL","メモ・要点","チェックすべき関連サイト","重要なワード","今後深堀すべきポイント"
"X","2026-04-02","YouTubeで新動画公開しました！『ターミナル完結！Claude Codeの使い方と設定 9分解説』。エンジニアは必見です。","YouTube/教育","https://x.com/shota7180/status/2026040201","Claude Code解説動画の告知","https://www.youtube.com/@shota_kiuchi","YouTube / Claude Code / 解説動画","動画の反響と視聴層拡大"
"X","2026-04-03","AIを活用している人とそうでない人の生産性格差が、いよいよ可視化され始めた。今年は『AI格差』が社会問題になるだろう。","AI/ビジネス","https://x.com/shota7180/status/2026040301","AI格差の顕在化と社会問題化の懸念","https://shiftai.jp/","AI格差 / 生産性 / 社会問題","格差是正に向けたSHIFT AIの役割"
"X","2026-04-04","国産LLM「LLM-jp-4」が公開。日本語特化モデルの進化も著しい。グローバルモデルとどう使い分けるかが今後の課題。","国産LLM/トレンド","https://x.com/shota7180/status/2040561","LLM-jp-4公開への言及と使い分けの課題","https://llm-jp.nii.ac.jp/","LLM-jp-4 / 国産LLM / モデル使い分け","国産LLMの実用性検証"
"X","2026-04-05","週末だけど頭はフル回転。AIエージェントの次のフェーズは『エージェント間協調』。複数のAIが協力してプロジェクトを完遂する世界線がすぐそこ。","AI/未来予測","https://x.com/shota7180/status/2026040501","複数AIエージェントの協調システム展望","https://shiftai.jp/","エージェント間協調 / 未来予測","マルチエージェントシステムの事例"
"X","2026-04-06","全国47都道府県での『ゆるっと作業会』が今週から本格化。地方の熱量もすごい。地域から日本をAI先進国に。","コミュニティ/イベント","https://x.com/shota7180/status/2026040601","47都道府県作業会の本格化報告","https://shiftai.jp/","ゆるっと作業会 / 47都道府県 / 地方創生","地方コミュニティの活性度合い"
"X","2026-04-07","TV出演します！MC永野さん・カズレーザーさんの番組で現在のAI業界トレンドを分かりやすく解説させてもらいました。","メディア/告知","https://x.com/shota7180/status/2041551","TV出演の告知","https://www.tv-asahi.co.jp/","TV出演 / 永野 / カズレーザー","TV出演によるマス層へのリーチ効果"
"X","2026-04-08","AI検索エンジン（Perplexity生など）は情報収集の時間を10分の1にする。これを使わないのは素手で畑を耕すのと同じ。","AI/ノウハウ","https://x.com/shota7180/status/2026040801","AI検索エンジンの必須化を主張","https://www.perplexity.ai/","AI検索エンジン / Perplexity / 情報収集","情報収集自動化フロー"
"X","2026-04-09","G検定の最新シラバス対応記事がSHIFT AI Blogに上がってます。これからAIを学ぶ人はまずこのロードマップを見てほしい。","AIキャリア/資格","https://x.com/shota7180/status/2026040901","G検定ロードマップ記事の紹介","https://shift-ai.co.jp/blog/6922/","G検定 / 最新シラバス / ロードマップ","G検定からのスクール誘導率"
"X","2026-04-10","今日のミーティングで今後のSHIFT AIの全体構想について議論。SaaSからAIへの不可逆なシフトに向け、我々も進化を急ぐ。","経営/組織","https://x.com/shota7180/status/2026041001","SHIFT AIの次期戦略議論","https://shiftai.jp/","全体構想 / 経営 / SaaSからAIへ","SHIFT AIの新規事業構想"
"X","2026-04-11","「プロンプトエンジニアリング」は死語になるかもしれないが、「要件定義力」と「論理的思考力」はAI時代にさらに価値を増す。","AIキャリア/思考","https://x.com/shota7180/status/2026041101","要件定義力と論理的思考力の重要性強調","https://shiftai.jp/","プロンプトエンジニアリング / 要件定義力 / 論理的思考力","人間特有のスキルの定義"
"X","2026-04-12","画像の生成品質は一昔前とは比べ物にならない。Nano Banana Proなどで生成された画像は、もはや実写と見分けがつかないレベル。","AIトレンド/画像","https://x.com/shota7180/status/2026041201","画像生成AIのクオリティ向上に言及","https://nano-banana.ai","画像生成AI / クオリティ向上","クリエイティブ現場への影響"
"X","2026-04-13","Claude Codeで「frontend-design skills」を使い、ゼロから動的なLPを瞬時に生成するデモです。このスピード、凄すぎませんか？（動画付き）","AI Tool / Web Design","https://x.com/shota7180/status/2043528354171965722","Claude Codeによる動的LP生成実演動画","https://claude.ai","Claude Code / LP生成 / 動的","Claude Code応用事例"
"X","2026-04-13","毎週恒例！最新AIニュースまとめ動画をYouTubeに公開しました。今週も各社のアップデートが目白押しです。","YouTube/トレンド","https://x.com/shota7180/status/2043451","最新AIニュースまとめ動画の告知","https://www.youtube.com/@shota_kiuchi","AIニュースまとめ / YouTube","動画内容と視聴率の関係"
"X","2026-04-14","本日12時、SHIFT AIの次なる取り組みについて重大な発表を行います。ご期待ください！","メディア/告知","https://x.com/shota7180/status/2026041401","本日昼の重大発表予告","https://shiftai.jp/","重大発表 / 次の取り組み","発表の社会的反響"
